"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1",11,7292,286406,63695,"BPS  Open Water",63695,"EVT  Open Water",63695
"2",31,9064,110,24,"BPS  Barren-Rock/Sand/Clay",24,"EVT  Sparsely Vegetated",24
"3",2132,7295,110,24,"BPS  Hardwood",666401,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",74
"4",2132,7296,2029,451,"BPS  Hardwood",666401,"EVT  Developed-Low Intensity",4048
"5",2132,7297,738,164,"BPS  Hardwood",666401,"EVT  Developed-Medium Intensity",1672
"6",2132,7298,192,43,"BPS  Hardwood",666401,"EVT  Developed-High Intensity",360
"7",2132,7299,28659,6374,"BPS  Hardwood",666401,"EVT  Developed-Roads",48213
"8",2132,7304,767119,170603,"BPS  Hardwood",666401,"EVT  Hardwood",388765
"9",2132,7312,5920,1317,"BPS  Hardwood",666401,"EVT  Hardwood",5092
"10",2132,7334,48394,10763,"BPS  Hardwood",666401,"EVT  Hardwood",39477
"11",2132,7364,137804,30647,"BPS  Hardwood",666401,"EVT  Hardwood",160353
"12",2132,7367,761696,169397,"BPS  Hardwood",666401,"EVT  Conifer",616909
"13",2132,7415,4,1,"BPS  Hardwood",666401,"EVT  Grassland",22
"14",2132,7442,53,12,"BPS  Hardwood",666401,"EVT  Hardwood",107
"15",2132,7505,5941,1321,"BPS  Hardwood",666401,"EVT  Hardwood",4461
"16",2132,7507,61601,13700,"BPS  Hardwood",666401,"EVT  Conifer",64834
"17",2132,7582,508190,113019,"BPS  Hardwood",666401,"EVT  Hardwood",426445
"18",2132,7583,221829,49334,"BPS  Hardwood",666401,"EVT  Conifer-Hardwood",204174
"19",2132,7905,15314,3406,"BPS  Hardwood",666401,"EVT  Developed",17334
"20",2132,7906,24355,5416,"BPS  Hardwood",666401,"EVT  Developed",29820
"21",2132,7907,13839,3078,"BPS  Hardwood",666401,"EVT  Developed",17678
"22",2132,7908,2116,471,"BPS  Hardwood",666401,"EVT  Developed",3959
"23",2132,7909,956,213,"BPS  Hardwood",666401,"EVT  Developed",2231
"24",2132,7925,880,196,"BPS  Hardwood",666401,"EVT  Developed",1291
"25",2132,7926,336,75,"BPS  Hardwood",666401,"EVT  Developed",606
"26",2132,7927,245,54,"BPS  Hardwood",666401,"EVT  Developed",373
"27",2132,7928,9,2,"BPS  Hardwood",666401,"EVT  Developed",22
"28",2132,7929,262,58,"BPS  Hardwood",666401,"EVT  Developed",547
"29",2132,7970,2,0,"BPS  Hardwood",666401,"EVT  Agricultural",170
"30",2132,7973,1,0,"BPS  Hardwood",666401,"EVT  Agricultural",6
"31",2132,7974,86,19,"BPS  Hardwood",666401,"EVT  Agricultural",858
"32",2132,7975,1,0,"BPS  Hardwood",666401,"EVT  Agricultural",21
"33",2132,7976,45,10,"BPS  Hardwood",666401,"EVT  Agricultural",225
"34",2132,7977,53118,11813,"BPS  Hardwood",666401,"EVT  Agricultural",168001
"35",2132,7978,4,1,"BPS  Hardwood",666401,"EVT  Agricultural",121
"36",2132,7979,1,0,"BPS  Hardwood",666401,"EVT  Agricultural",1
"37",2132,9207,17032,3788,"BPS  Hardwood",666401,"EVT  Riparian",21345
"38",2132,9223,810,180,"BPS  Hardwood",666401,"EVT  Riparian",5061
"39",2132,9282,1,0,"BPS  Hardwood",666401,"EVT  Riparian",2238
"40",2132,9321,81549,18136,"BPS  Hardwood",666401,"EVT  Conifer-Hardwood",79256
"41",2132,9322,198449,44134,"BPS  Hardwood",666401,"EVT  Conifer",255178
"42",2132,9323,6053,1346,"BPS  Hardwood",666401,"EVT  Exotic Tree-Shrub",8753
"43",2132,9324,1,0,"BPS  Hardwood",666401,"EVT  Riparian",176
"44",2132,9707,17,4,"BPS  Hardwood",666401,"EVT  Riparian",15
"45",2132,9708,3947,878,"BPS  Hardwood",666401,"EVT  Riparian",4221
"46",2132,9723,6,1,"BPS  Hardwood",666401,"EVT  Riparian",13
"47",2132,9725,82,18,"BPS  Hardwood",666401,"EVT  Riparian",527
"48",2132,9823,26683,5934,"BPS  Hardwood",666401,"EVT  Exotic Herbaceous",46696
"49",2136,7296,4,1,"BPS  Hardwood",5316,"EVT  Developed-Low Intensity",4048
"50",2136,7297,7,2,"BPS  Hardwood",5316,"EVT  Developed-Medium Intensity",1672
"51",2136,7299,1369,304,"BPS  Hardwood",5316,"EVT  Developed-Roads",48213
"52",2136,7304,1206,268,"BPS  Hardwood",5316,"EVT  Hardwood",388765
"53",2136,7312,10945,2434,"BPS  Hardwood",5316,"EVT  Hardwood",5092
"54",2136,7334,20,4,"BPS  Hardwood",5316,"EVT  Hardwood",39477
"55",2136,7364,4817,1071,"BPS  Hardwood",5316,"EVT  Hardwood",160353
"56",2136,7367,9,2,"BPS  Hardwood",5316,"EVT  Conifer",616909
"57",2136,7505,4330,963,"BPS  Hardwood",5316,"EVT  Hardwood",4461
"58",2136,7507,9,2,"BPS  Hardwood",5316,"EVT  Conifer",64834
"59",2136,7582,42,9,"BPS  Hardwood",5316,"EVT  Hardwood",426445
"60",2136,7583,2,0,"BPS  Hardwood",5316,"EVT  Conifer-Hardwood",204174
"61",2136,7905,933,207,"BPS  Hardwood",5316,"EVT  Developed",17334
"62",2136,7906,1,0,"BPS  Hardwood",5316,"EVT  Developed",29820
"63",2136,7907,7,2,"BPS  Hardwood",5316,"EVT  Developed",17678
"64",2136,7908,43,10,"BPS  Hardwood",5316,"EVT  Developed",3959
"65",2136,7909,23,5,"BPS  Hardwood",5316,"EVT  Developed",2231
"66",2136,7927,3,1,"BPS  Hardwood",5316,"EVT  Developed",373
"67",2136,7929,10,2,"BPS  Hardwood",5316,"EVT  Developed",547
"68",2136,7977,3,1,"BPS  Hardwood",5316,"EVT  Agricultural",168001
"69",2136,9321,2,0,"BPS  Hardwood",5316,"EVT  Conifer-Hardwood",79256
"70",2136,9323,6,1,"BPS  Hardwood",5316,"EVT  Exotic Tree-Shrub",8753
"71",2136,9823,114,25,"BPS  Hardwood",5316,"EVT  Exotic Herbaceous",46696
"72",2138,7296,15,3,"BPS  Hardwood",2540,"EVT  Developed-Low Intensity",4048
"73",2138,7297,1,0,"BPS  Hardwood",2540,"EVT  Developed-Medium Intensity",1672
"74",2138,7299,88,20,"BPS  Hardwood",2540,"EVT  Developed-Roads",48213
"75",2138,7304,1159,258,"BPS  Hardwood",2540,"EVT  Hardwood",388765
"76",2138,7323,300,67,"BPS  Hardwood",2540,"EVT  Hardwood",6562
"77",2138,7334,28,6,"BPS  Hardwood",2540,"EVT  Hardwood",39477
"78",2138,7364,787,175,"BPS  Hardwood",2540,"EVT  Hardwood",160353
