Past,EVT,ACRES,,,,,EVT-blah
Past Conifer,Present Agricultural,16417,,,,,Agricultural
Past Conifer,Present Conifer,237467,,,,,Conifer
Past Conifer,Present Conifer-Hardwood,61800,,,,,Conifer-Hardwood
Past Conifer,Present Developed,27304,,,,,Developed
Past Conifer,Present Exotics,11720,,,,,Exotics
Past Conifer,Present Grassland,3,,,,,Grassland
Past Conifer,Present Hardwood,166032,,,,,Hardwood
Past Conifer,Present Riparian,1918,,,,,Riparian
Past Grassland,Present Agricultural,9294,,,,,Agricultural
Past Grassland,Present Conifer,7084,,,,,Conifer
Past Grassland,Present Conifer-Hardwood,2277,,,,,Conifer-Hardwood
Past Grassland,Present Developed,1826,,,,,Developed
Past Grassland,Present Exotics,950,,,,,Exotics
Past Grassland,Present Grassland,73,,,,,Grassland
Past Grassland,Present Hardwood,7625,,,,,Hardwood
Past Grassland,Present Riparian,672,,,,,Riparian
Past Hardwood,Present Agricultural,31716,,,,,Agricultural
Past Hardwood,Present Conifer,390845,,,,,Conifer
Past Hardwood,Present Conifer-Hardwood,134930,,,,,Conifer-Hardwood
Past Hardwood,Present Developed,47499,,,,,Developed
Past Hardwood,Present Exotics,15541,,,,,Exotics
Past Hardwood,Present Grassland,8,,,,,Grassland
Past Hardwood,Present Hardwood,556366,,,,,Hardwood
Past Hardwood,Present Riparian,12490,,,,,Riparian
Past Hardwood-Conifer,Present Agricultural,74007,,,,,Agricultural
Past Hardwood-Conifer,Present Conifer,288421,,,,,Conifer
Past Hardwood-Conifer,Present Conifer-Hardwood,78342,,,,,Conifer-Hardwood
Past Hardwood-Conifer,Present Developed,46387,,,,,Developed
Past Hardwood-Conifer,Present Exotics,22942,,,,,Exotics
Past Hardwood-Conifer,Present Grassland,39,,,,,Grassland
Past Hardwood-Conifer,Present Hardwood,288674,,,,,Hardwood
Past Hardwood-Conifer,Present Riparian,4058,,,,,Riparian
Past Riparian,Present Agricultural,37964,,,,,Agricultural
Past Riparian,Present Conifer,18912,,,,,Conifer
Past Riparian,Present Conifer-Hardwood,7280,,,,,Conifer-Hardwood
Past Riparian,Present Developed,5211,,,,,Developed
Past Riparian,Present Exotics,4292,,,,,Exotics
Past Riparian,Present Grassland,30,,,,,Grassland
Past Riparian,Present Hardwood,17395,,,,,Hardwood
Past Riparian,Present Riparian,30727,,,,,Riparian
