"","model_label","Model_Code","refLabel","refPercent","BpS_Name","Var1","Var2","Freq","BPS_CODE","ZONE","total_count","currentPercent"
"1","13040_32_43_44_49_A","13040_32_43_44_49","A",7,"Ozark-Ouachita Dry-Mesic Oak Forest",2132,1,15903,13040,44,2996479,0
"2","13040_32_43_44_49_B","13040_32_43_44_49","B",21,"Ozark-Ouachita Dry-Mesic Oak Forest",2132,2,205,13040,44,2996479,0
"3","13040_32_43_44_49_C","13040_32_43_44_49","C",22,"Ozark-Ouachita Dry-Mesic Oak Forest",2132,3,21820,13040,44,2996479,0
"4","13040_32_43_44_49_D","13040_32_43_44_49","D",33,"Ozark-Ouachita Dry-Mesic Oak Forest",2132,4,647588,13040,44,2996479,21
"5","13040_32_43_44_49_E","13040_32_43_44_49","E",17,"Ozark-Ouachita Dry-Mesic Oak Forest",2132,5,1854930,13040,44,2996479,61
"6","13040_32_43_44_49_Agriculture","13040_32_43_44_49","Agriculture",0,"Ozark-Ouachita Dry-Mesic Oak Forest",2132,180,53258,13040,44,2996479,1
"7","13040_32_43_44_49_Developed","13040_32_43_44_49","Developed",0,"Ozark-Ouachita Dry-Mesic Oak Forest",2132,120,88198,13040,44,2996479,2
"8","13040_32_43_44_49_Water","13040_32_43_44_49","Water",0,"Ozark-Ouachita Dry-Mesic Oak Forest",NA,NA,NA,NA,NA,NA,NA
"9","13040_32_43_44_49_UN","13040_32_43_44_49","UN",0,"Ozark-Ouachita Dry-Mesic Oak Forest",NA,NA,NA,NA,NA,NA,NA
"10","13040_32_43_44_49_UE","13040_32_43_44_49","UE",0,"Ozark-Ouachita Dry-Mesic Oak Forest",2132,7,314467,13040,44,2996479,10
"11","13120_44_A","13120_44","A",10,"Ouachita Montane Oak Forest",2136,1,96,13120,44,23905,0
"12","13120_44_B","13120_44","B",17,"Ouachita Montane Oak Forest",2136,2,13,13120,44,23905,0
"13","13120_44_C","13120_44","C",27,"Ouachita Montane Oak Forest",2136,3,26,13120,44,23905,0
"14","13120_44_D","13120_44","D",44,"Ouachita Montane Oak Forest",2136,4,1389,13120,44,23905,5
"15","13120_44_E","13120_44","E",2,"Ouachita Montane Oak Forest",2136,5,19856,13120,44,23905,83
"16","13120_44_Agriculture","13120_44","Agriculture",0,"Ouachita Montane Oak Forest",2136,180,3,13120,44,23905,0
"17","13120_44_Developed","13120_44","Developed",0,"Ouachita Montane Oak Forest",2136,120,2387,13120,44,23905,9
"18","13120_44_Water","13120_44","Water",0,"Ouachita Montane Oak Forest",NA,NA,NA,NA,NA,NA,NA
"19","13120_44_UN","13120_44","UN",0,"Ouachita Montane Oak Forest",NA,NA,NA,NA,NA,NA,NA
"20","13120_44_UE","13120_44","UE",0,"Ouachita Montane Oak Forest",2136,7,135,13120,44,23905,0
"21","13230_32_36_37_44_45_98_A","13230_32_36_37_44_45_98","A",4,"West Gulf Coastal Plain Mesic Hardwood Forest",2138,1,98,13230,44,11419,0
"22","13230_32_36_37_44_45_98_B","13230_32_36_37_44_45_98","B",23,"West Gulf Coastal Plain Mesic Hardwood Forest",2138,2,4328,13230,44,11419,37
"23","13230_32_36_37_44_45_98_C","13230_32_36_37_44_45_98","C",12,"West Gulf Coastal Plain Mesic Hardwood Forest",2138,3,2798,13230,44,11419,24
"24","13230_32_36_37_44_45_98_D","13230_32_36_37_44_45_98","D",24,"West Gulf Coastal Plain Mesic Hardwood Forest",2138,4,2,13230,44,11419,0
"25","13230_32_36_37_44_45_98_E","13230_32_36_37_44_45_98","E",37,"West Gulf Coastal Plain Mesic Hardwood Forest",2138,5,120,13230,44,11419,1
"26","13230_32_36_37_44_45_98_Agriculture","13230_32_36_37_44_45_98","Agriculture",0,"West Gulf Coastal Plain Mesic Hardwood Forest",2138,180,834,13230,44,11419,7
"27","13230_32_36_37_44_45_98_Developed","13230_32_36_37_44_45_98","Developed",0,"West Gulf Coastal Plain Mesic Hardwood Forest",2138,120,338,13230,44,11419,2
"28","13230_32_36_37_44_45_98_Water","13230_32_36_37_44_45_98","Water",0,"West Gulf Coastal Plain Mesic Hardwood Forest",NA,NA,NA,NA,NA,NA,NA
"29","13230_32_36_37_44_45_98_UN","13230_32_36_37_44_45_98","UN",0,"West Gulf Coastal Plain Mesic Hardwood Forest",NA,NA,NA,NA,NA,NA,NA
"30","13230_32_36_37_44_45_98_UE","13230_32_36_37_44_45_98","UE",0,"West Gulf Coastal Plain Mesic Hardwood Forest",2138,7,2901,13230,44,11419,25
"31","13340_32_43_44_A","13340_32_43_44","A",8,"Ozark-Ouachita Mesic Hardwood Forest",2139,1,3545,13340,44,530667,0
"32","13340_32_43_44_B","13340_32_43_44","B",24,"Ozark-Ouachita Mesic Hardwood Forest",2139,2,2517,13340,44,530667,0
"33","13340_32_43_44_C","13340_32_43_44","C",68,"Ozark-Ouachita Mesic Hardwood Forest",2139,3,446366,13340,44,530667,84
"34","13340_32_43_44_D","13340_32_43_44","D",NA,"Ozark-Ouachita Mesic Hardwood Forest",NA,NA,NA,NA,NA,NA,NA
"35","13340_32_43_44_E","13340_32_43_44","E",NA,"Ozark-Ouachita Mesic Hardwood Forest",NA,NA,NA,NA,NA,NA,NA
"36","13340_32_43_44_Agriculture","13340_32_43_44","Agriculture",0,"Ozark-Ouachita Mesic Hardwood Forest",2139,180,5735,13340,44,530667,1
"37","13340_32_43_44_Developed","13340_32_43_44","Developed",0,"Ozark-Ouachita Mesic Hardwood Forest",2139,120,31336,13340,44,530667,5
"38","13340_32_43_44_Water","13340_32_43_44","Water",0,"Ozark-Ouachita Mesic Hardwood Forest",NA,NA,NA,NA,NA,NA,NA
"39","13340_32_43_44_UN","13340_32_43_44","UN",0,"Ozark-Ouachita Mesic Hardwood Forest",NA,NA,NA,NA,NA,NA,NA
"40","13340_32_43_44_UE","13340_32_43_44","UE",0,"Ozark-Ouachita Mesic Hardwood Forest",2139,7,41158,13340,44,530667,7
"41","13640_32_44_49_A","13640_32_44_49","A",10,"Ozark-Ouachita Dry Oak Woodland",2140,1,7406,13640,44,1765782,0
"42","13640_32_44_49_B","13640_32_44_49","B",17,"Ozark-Ouachita Dry Oak Woodland",2140,2,814,13640,44,1765782,0
"43","13640_32_44_49_C","13640_32_44_49","C",27,"Ozark-Ouachita Dry Oak Woodland",2140,3,19956,13640,44,1765782,1
"44","13640_32_44_49_D","13640_32_44_49","D",44,"Ozark-Ouachita Dry Oak Woodland",2140,4,126602,13640,44,1765782,7
"45","13640_32_44_49_E","13640_32_44_49","E",2,"Ozark-Ouachita Dry Oak Woodland",2140,5,1216336,13640,44,1765782,68
