"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","...1","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","13040_32_43_44_49",0.085975,"Ozark-Ouachita Dry-Mesic Oak Forest",2,0,666401,24.4,57293.825975
"2","All Fire","13120_44",0.207412,"Ouachita Montane Oak Forest",15,0.450980392,5316,0.2,1102.602192
"3","All Fire","13230_32_36_37_44_45_98",0.058074,"West Gulf Coastal Plain Mesic Hardwood Forest",18,0.560784314,2540,0.1,147.50796
"4","All Fire","13340_32_43_44",0.0521608,"Ozark-Ouachita Mesic Hardwood Forest",5,0.290196078,118017,4.3,6155.8611336
"5","All Fire","13640_32_44_49",0.2045578,"Ozark-Ouachita Dry Oak Woodland",4,0,392700,14.4,80329.84806
"6","All Fire","13670_32_44",0.2153964,"Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland",3,0.392156863,522660,19.1,112579.082424
"7","All Fire","13710_44",0.2274924,"West Gulf Coastal Plain Pine-Hardwood Forest",6,0,92264,3.4,20989.3587936
"8","All Fire","13780_37_44",0.205879,"West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland",12,0,11377,0.4,2342.285383
"9","All Fire","14151_44",0.504234,"Arkansas Valley Prairie and Woodland - Prairie",13,0.733333333,7927,0.3,3997.062918
"10","All Fire","14152_44",0.4809748,"Arkansas Valley Prairie and Woodland - Woodland",11,0.701960784,12714,0.5,6115.1136072
"11","All Fire","14280_37_44",0.2897556,"West Gulf Coastal Plain Northern Calcareous Prairie",14,0.431372549,9165,0.3,2655.610074
"12","All Fire","14580_37_44_45_98",0.2141494,"West Gulf Coastal Plain Pine-Hardwood Flatwoods",19,0.380392157,3055,0.1,654.226417
"13","All Fire","14712_44",0.017178,"Central Interior and Appalachian Floodplain Systems - Large Floodplains",8,0.219607843,62647,2.3,1076.150166
"14","All Fire","14730_32_37_44",0.0267264,"Gulf and Atlantic Coastal Plain Floodplain Systems",9,0.803921569,36019,1.3,962.6582016
"15","All Fire","14740_32_37_44_45_98",0.0301356,"Gulf and Atlantic Coastal Plain Small Stream Riparian Systems",10,0.921568627,17600,0.6,530.38656
