"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,286406,"Open Water",0,0,255,0,0,1,63695,2.3
"2",13,77944,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,17334,0.6
"3",14,134088,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,29820,1.1
"4",15,79489,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,17678,0.6
"5",16,17801,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,3959,0.1
"6",17,10030,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,2231,0.1
"7",22,18200,"Developed - Low Intensity",255,122,143,1,0.478431,0.560784,4048,0.1
"8",23,7518,"Developed - Medium Intensity",253,44,79,0.992157,0.172549,0.309804,1672,0.1
"9",24,1618,"Developed - High Intensity",173,0,28,0.678431,0,0.109804,360,0
"10",25,216791,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,48213,1.8
"11",31,110,"Barren",191,191,191,0.74902,0.74902,0.74902,24,0
"12",32,334,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,74,0
"13",61,3,"NASS-Vineyard",168,0,132,0.658824,0,0.517647,1,0
"14",63,25,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,6,0
"15",64,3856,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,858,0
"16",65,93,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,21,0
"17",68,542,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,121,0
"18",69,3,"NASS-Aquaculture",210,255,237,0.823529,1,0.929412,1,0
"19",101,4,"Tree Height = 1 meter",204,255,153,0.8,1,0.6,1,0
"20",102,56,"Tree Height = 2 meters",199,250,147,0.780392,0.980392,0.576471,12,0
"21",103,5600,"Tree Height = 3 meters",192,245,142,0.752941,0.960784,0.556863,1245,0
"22",104,619,"Tree Height = 4 meters",188,242,138,0.737255,0.94902,0.541176,138,0
"23",105,1551,"Tree Height = 5 meters",181,237,133,0.709804,0.929412,0.521569,345,0
"24",106,3107,"Tree Height = 6 meters",178,235,129,0.698039,0.921569,0.505882,691,0
"25",107,5358,"Tree Height = 7 meters",171,230,124,0.670588,0.901961,0.486275,1192,0
"26",108,179557,"Tree Height = 8 meters",168,227,120,0.658824,0.890196,0.470588,39933,1.5
"27",109,18930,"Tree Height = 9 meters",160,222,113,0.627451,0.870588,0.443137,4210,0.2
"28",110,34523,"Tree Height = 10 meters",155,219,110,0.607843,0.858824,0.431373,7678,0.3
"29",111,60874,"Tree Height = 11 meters",150,214,105,0.588235,0.839216,0.411765,13538,0.5
"30",112,119911,"Tree Height = 12 meters",146,212,102,0.572549,0.831373,0.4,26668,1
"31",113,245160,"Tree Height = 13 meters",141,207,97,0.552941,0.811765,0.380392,54522,2
"32",114,493274,"Tree Height = 14 meters",136,204,94,0.533333,0.8,0.368627,109701,4
"33",115,905893,"Tree Height = 15 meters",131,199,90,0.513725,0.780392,0.352941,201466,7.4
"34",116,1398012,"Tree Height = 16 meters",127,196,86,0.498039,0.768627,0.337255,310910,11.4
"35",117,1572766,"Tree Height = 17 meters",119,191,80,0.466667,0.74902,0.313725,349775,12.8
"36",118,3795151,"Tree Height = 18 meters",116,189,77,0.454902,0.741176,0.301961,844021,30.9
"37",119,791535,"Tree Height = 19 meters",110,184,73,0.431373,0.721569,0.286275,176033,6.4
"38",120,419887,"Tree Height = 20 meters",107,181,71,0.419608,0.709804,0.278431,93381,3.4
"39",121,123301,"Tree Height = 21 meters",101,176,67,0.396078,0.690196,0.262745,27421,1
"40",122,74191,"Tree Height = 22 meters",99,173,64,0.388235,0.678431,0.25098,16500,0.6
"41",123,18164,"Tree Height = 23 meters",93,168,61,0.364706,0.658824,0.239216,4040,0.1
"42",124,20075,"Tree Height = 24 meters",87,166,56,0.341176,0.65098,0.219608,4465,0.2
"43",125,16969,"Tree Height = 25 meters",84,161,53,0.329412,0.631373,0.207843,3774,0.1
"44",126,5333,"Tree Height = 26 meters",79,158,51,0.309804,0.619608,0.2,1186,0
"45",127,7984,"Tree Height = 27 meters",76,153,47,0.298039,0.6,0.184314,1776,0.1
"46",128,40,"Tree Height = 28 meters",71,150,45,0.278431,0.588235,0.176471,9,0
